inhale,exhale,repeat
Om namo,śivāya namaḥ,1
Om namo,maheśvarāya namaḥ,1
Om namo,śambhave namaḥ,1
Om namo,pinākine namaḥ,1
Om namo,śaśiśekharāya namaḥ,1
Om namo,vāmadevaya namaḥ,1
Om namo,virūpākṣāya namaḥ,1
Om namo,kapardine namaḥ,1
Om namo,nīlalohitāya namaḥ,1
Om namo,śaṅkarāya namaḥ,1
Om namo,śūlapāṇaye namaḥ,1
Om namo,khaṭvāṅgine namaḥ,1
Om namo,viṣṇuvallabhāya namaḥ,1
Om namo,śipiviṣṭāya namaḥ,1
Om namo,ambikānāthāya namaḥ,1
Om namo,śrīkaṇṭhāya namaḥ,1
Om namo,bhaktavatsalāya namaḥ,1
Om namo,bhavāya namaḥ,1
Om namo,śarvāya namaḥ,1
Om namo,trilokeśāya namaḥ,1
Om namo,śitakaṇṭhāya namaḥ,1
Om namo,śivapriyāya namaḥ,1
Om namo,ugrāya namaḥ,1
Om namo,kapāline namaḥ,1
Om namo,kāmaraye namaḥ,1
Om namo,andhakāsura sūdanāya namaḥ,1
Om namo,gaṅgādharāya namaḥ,1
Om namo,lalāṭākṣāya namaḥ,1
Om namo,kalakalāya namaḥ,1
Om namo,kṛpānidhaye namaḥ,1
Om namo,bhīmāya namaḥ,1
Om namo,paraśu hastāya namaḥ,1
Om namo,mṛgapāṇaye namaḥ,1
Om namo,jaṭādharāya namaḥ,1
Om namo,kailāsavāsine namaḥ,1
Om namo,kavachine namaḥ,1
Om namo,kaṭhorāya namaḥ,1
Om namo,tripurāntakāya namaḥ,1
Om namo,vṛṣāṅkāya namaḥ,1
Om namo,vṛṣabharūḍhāya namaḥ,1
Om namo,bhasmoddhūlita vigrahāya namaḥ,1
Om namo,sāmapriyāya namaḥ,1
Om namo,svaramayāya namaḥ,1
Om namo,trayīmūrtaye namaḥ,1
Om namo,anīśvarāya namaḥ,1
Om namo,sarvajñāya namaḥ,1
Om namo,paramātmane namaḥ,1
Om namo,soma-sūryāgni lochanāya namaḥ,1
Om namo,haviṣe namaḥ,1
Om namo,yajñamayāya namaḥ,1
Om namo,somāya namaḥ,1
Om namo,pañcavaktrāya namaḥ,1
Om namo,sadāśivāya namaḥ,1
Om namo,viśveśvarāya namaḥ,1
Om namo,vīrabhadrāya namaḥ,1
Om namo,gaṇanāthāya namaḥ,1
Om namo,prajāpataye namaḥ,1
Om namo,hiraṇyaretase namaḥ,1
Om namo,durdharṣāya namaḥ,1
Om namo,girīśāya namaḥ,1
Om namo,girīśāya namaḥ,1
Om namo,anaghāya namaḥ,1
Om namo,bhujaṅgabhūṣaṇāya namaḥ,1
Om namo,bhargāya namaḥ,1
Om namo,giridhanvane namaḥ,1
Om namo,giripriyāya namaḥ,1
Om namo,kṛttivāsase namaḥ,1
Om namo,purārātaye namaḥ,1
Om namo,bhagavate namaḥ,1
Om namo,pramathādhipāya namaḥ,1
Om namo,mṛtyuñjayāya namaḥ,1
Om namo,sūkṣmatanave namaḥ,1
Om namo,jagadvyāpine namaḥ,1
Om namo,jagadgurave namaḥ,1
Om namo,vyomakeśāya namaḥ,1
Om namo,mahāsenajanakāya namaḥ,1
Om namo,chāruvikramāya namaḥ,1
Om namo,rudrāya namaḥ,1
Om namo,bhūtapataye namaḥ,1
Om namo,sthāṇave namaḥ,1
Om namo,ahirbudhnyāya namaḥ,1
Om namo,digambarāya namaḥ,1
Om namo,aṣṭamūrtaye namaḥ,1
Om namo,anekātmanē namaḥ,1
Om namo,sāttvikāya namaḥ,1
Om namo,śuddha vigrahāya namaḥ,1
Om namo,śāśvatāya namaḥ,1
Om namo,khaṇḍaparaśave namaḥ,1
Om namo,ajāya namaḥ,1
Om namo,pāpavimochakāya namaḥ,1
Om namo,mṛḍāya namaḥ,1
Om namo,paśupataye namaḥ,1
Om namo,devāya namaḥ,1
Om namo,mahādevāya namaḥ,1
Om namo,avyayāya namaḥ,1
Om namo,harāya namaḥ,1
Om namo,pūṣadantabhide namaḥ,1
Om namo,avyagrāya namaḥ,1
Om namo,dakṣādhvaraharāya namaḥ,1
Om namo,harāya namaḥ,1
Om namo,bhaganetrabhide namaḥ,1
Om namo,avyaktāya namaḥ,1
Om namo,sahasrākṣāya namaḥ,1
Om namo,sahasrapade namaḥ,1
Om namo,apavargapradāya namaḥ,1
Om namo,anantāya namaḥ,1
Om namo,tārakāya namaḥ,1
Om namo,parameśvarāya namaḥ,1
