inhale,exhale,repeat
ഓം നമോ,വിഷ്ണവേ നമഃ,1
ഓം നമോ,ലക്ഷ്മീപതയേ നമഃ,1
ഓം നമോ,കൃഷ്ണായ നമഃ,1
ഓം നമോ,വൈകുണ്ഠായ നമഃ,1
ഓം നമോ,ഗരുഡധ്വജായ നമഃ,1
ഓം നമോ,പരബ്രഹ്മണേ നമഃ,1
ഓം നമോ,ജഗന്നാഥായ നമഃ,1
ഓം നമോ,വാസുദേവായ നമഃ,1
ഓം നമോ,ത്രിവിക്രമായ നമഃ,1
ഓം നമോ,ദൈത്യാന്തകായ നമഃ,1
ഓം നമോ,മാധുര്യായ നമഃ,1
ഓം നമോ,തക്ഷാര്യവാഹനായ നമഃ,1
ഓം നമോ,സനാതനായ നമഃ,1
ഓം നമോ,നാരായണായ നമഃ,1
ഓം നമോ,പദ്മനാഭായ നമഃ,1
ഓം നമോ,ഹൃഷീകേശായ നമഃ,1
ഓം നമോ,സുധാപ്രദായ നമഃ,1
ഓം നമോ,മാധവായ നമഃ,1
ഓം നമോ,പുണ്ഡരീകാക്ഷായ നമഃ,1
ഓം നമോ,സ്ഥിതികർത്രേ നമഃ,1
ഓം നമോ,പരാത്പരായ നമഃ,1
ഓം നമോ,വനമാലിനേ നമഃ,1
ഓം നമോ,യജ്ഞരൂപായ നമഃ,1
ഓം നമോ,ചക്രപാണയേ നമഃ,1
ഓം നമോ,ഗദാധരായ നമഃ,1
ഓം നമോ,ഉപേന്ദ്രായ നമഃ,1
ഓം നമോ,കേശവായ നമഃ,1
ഓം നമോ,ഹംസായ നമഃ,1
ഓം നമോ,സമുദ്രമഥനായ നമഃ,1
ഓം നമോ,ഹരയേ നമഃ,1
ഓം നമോ,ഗോവിന്ദായ നമഃ,1
ഓം നമോ,ബ്രഹ്മജനകായ നമഃ,1
ഓം നമോ,കൈടഭാസുരമർദനായ നമഃ,1
ഓം നമോ,ശ്രീധരായ നമഃ,1
ഓം നമോ,കാമജനകായ നമഃ,1
ഓം നമോ,ശേഷശായിനേ നമഃ,1
ഓം നമോ,ചതുര്ഭുജായ നമഃ,1
ഓം നമോ,പാഞ്ചജന്യധരായ നമഃ,1
ഓം നമോ,ശ്രീമതേ നമഃ,1
ഓം നമോ,ശാർംഗപാണയേ നമഃ,1
ഓം നമോ,ജനാർദ്ദനായ നമഃ,1
ഓം നമോ,പീതാംബരധരായ നമഃ,1
ഓം നമോ,ദേവായ നമഃ,1
ഓം നമോ,സൂര്യചന്ദ്രവിലോചനായ നമഃ,1
ഓം നമോ,മത്സ്യരൂപായ നമഃ,1
ഓം നമോ,കൂർമതനവേ നമഃ,1
