inhale,exhale,repeat
Om namo,viṣṇave namaḥ,1
Om namo,lakṣmīpataye namaḥ,1
Om namo,kṛṣṇāya namaḥ,1
Om namo,vaikuṇṭhāya namaḥ,1
Om namo,garuḍadhvajāya namaḥ,1
Om namo,parabrahmaṇe namaḥ,1
Om namo,jagannāthāya namaḥ,1
Om namo,vāsudevāya namaḥ,1
Om namo,trivikramāya namaḥ,1
Om namo,daityāntakāya namaḥ,1
Om namo,mādhuryāya namaḥ,1
Om namo,takṣaryavāhanāya namaḥ,1
Om namo,sanātanāya namaḥ,1
Om namo,nārāyaṇāya namaḥ,1
Om namo,padmanābhāya namaḥ,1
Om namo,hṛṣīkeśāya namaḥ,1
Om namo,sudhāpradāya namaḥ,1
Om namo,mādhavāya namaḥ,1
Om namo,puṇḍarīkākṣāya namaḥ,1
Om namo,sthithikartre namaḥ,1
Om namo,parātparāya namaḥ,1
Om namo,vanamāline namaḥ,1
Om namo,yajñarūpāya namaḥ,1
Om namo,cakrapāṇaye namaḥ,1
Om namo,gadādharāya namaḥ,1
Om namo,upendrāya namaḥ,1
Om namo,keśavāya namaḥ,1
Om namo,haṃsāya namaḥ,1
Om namo,samudramathanāya namaḥ,1
Om namo,haraye namaḥ,1
Om namo,govindāya namaḥ,1
Om namo,brahmajanakāya namaḥ,1
Om namo,kaitabhāsuramardanāya namaḥ,1
Om namo,śrīdharāya namaḥ,1
Om namo,kāmajanakāya namaḥ,1
Om namo,śeṣaśāyinē namaḥ,1
Om namo,caturbhujāya namaḥ,1
Om namo,pāñcajanyadharāya namaḥ,1
Om namo,śrīmate namaḥ,1
Om namo,śārṅgapāṇaye namaḥ,1
Om namo,janārdhanāya namaḥ,1
Om namo,pītāmbaradharāya namaḥ,1
Om namo,devāya namaḥ,1
Om namo,sūryacandravilocanāya namaḥ,1
Om namo,matsyarūpāya namaḥ,1
Om namo,kūrmatanuve namaḥ,1
Om namo,krodharūpāya namaḥ,1
Om namo,nṛkeśaraye namaḥ,1
Om namo,vāmanāya namaḥ,1
Om namo,bhārgavāya namaḥ,1
Om namo,rāmāya namaḥ,1
Om namo,balaye namaḥ,1
Om namo,kalkine namaḥ,1
Om namo,hayānānāya namaḥ,1
Om namo,viśvambharāya namaḥ,1
Om namo,śiśumārāya namaḥ,1
Om namo,śrīkarāya namaḥ,1
Om namo,kapilāya namaḥ,1
Om namo,dhruvāya namaḥ,1
Om namo,dattātreyāya namaḥ,1
Om namo,acyutāya namaḥ,1
Om namo,anantāya namaḥ,1
Om namo,mukundāya namaḥ,1
Om namo,dadhivāmanāya namaḥ,1
Om namo,dhanvantaraye namaḥ,1
Om namo,śrīnivāsāya namaḥ,1
Om namo,pradyumnāya namaḥ,1
Om namo,puruṣottamāya namaḥ,1
Om namo,śrīvatsakaustubhadharāya namaḥ,1
Om namo,murārātaye namaḥ,1
Om namo,adhokṣajāya namaḥ,1
Om namo,ṛṣabhāya namaḥ,1
Om namo,mohinīrūpadharāya namaḥ,1
Om namo,saṅkarṣaṇāya namaḥ,1
Om namo,pṛthivyā namaḥ,1
Om namo,kṣīrābdhiśāyinē namaḥ,1
Om namo,bhūtātmanē namaḥ,1
Om namo,aniruddhāya namaḥ,1
Om namo,bhaktavatsalāya namaḥ,1
Om namo,narāya namaḥ,1
Om namo,gajendravaradāya namaḥ,1
Om namo,tridhāmnē namaḥ,1
Om namo,bhūtabhāvanāya namaḥ,1
Om namo,śvetadvīpasuvāstavyāya namaḥ,1
Om namo,saṅkādimunidheyyāya namaḥ,1
Om namo,bhāgavatāya namaḥ,1
Om namo,śaṅkarapriyāya namaḥ,1
Om namo,nīlakaṇṭhāya namaḥ,1
Om namo,dhārakaṇṭhāya namaḥ,1
Om namo,vedātmanē namaḥ,1
Om namo,bādarāyaṇāya namaḥ,1
Om namo,bhāgīrathījanmabhūmipādapadmāya namaḥ,1
Om namo,śatamprabhave namaḥ,1
Om namo,svabhuve namaḥ,1
Om namo,vibhavāya namaḥ,1
Om namo,ghanāśyāmāya namaḥ,1
Om namo,jagatkāraṇāya namaḥ,1
Om namo,avyayāya namaḥ,1
Om namo,buddhāvatārāya namaḥ,1
Om namo,śāntātmanē namaḥ,1
Om namo,dāmodarāya namaḥ,1
Om namo,līlāmanuṣavigrahāya namaḥ,1
Om namo,virāṭrūpāya namaḥ,1
Om namo,bhūtabhavyabhavatprabhave namaḥ,1
Om namo,ādidevāya namaḥ,1
Om namo,devadevāya namaḥ,1
Om namo,prahlādaparipālakāya namaḥ,1
Om namo,śrīmahāviṣṇave namaḥ,1
